Date;Filière;Valeur (TWh)
2022-04;"Production solaire";1,750505133
2022-05;"Production solaire";2,281251116
2022-06;"Production solaire";2,193681119
2022-07;"Production solaire";2,564962915
2022-08;"Production solaire";2,265661473
2022-09;"Production solaire";1,79008403
2022-10;"Production solaire";1,268506825
2022-11;"Production solaire";0,8157772152
2022-12;"Production solaire";0,4814177434
2023-01;"Production solaire";0,6160977936
2023-02;"Production solaire";1,245902313
2023-03;"Production solaire";1,63753973
2023-04;"Production solaire";2,149075224
2023-05;"Production solaire";2,5150027
2023-06;"Production solaire";2,678984864
2023-07;"Production solaire";2,694966115
2023-08;"Production solaire";2,576438855
2023-09;"Production solaire";2,272323421
2023-10;"Production solaire";1,619989353
2023-11;"Production solaire";0,8991434416
2023-12;"Production solaire";0,6875497215
