Date;Filière;Valeur (%)
2022-09;"Facteur de charge moyen";16,703176139596
2022-10;"Facteur de charge moyen";11,283424581866
2022-11;"Facteur de charge moyen";7,3555743303945
2022-12;"Facteur de charge moyen";4,1423514202982
2023-01;"Facteur de charge moyen";5,335391410402
2023-02;"Facteur de charge moyen";11,715265156888
2023-03;"Facteur de charge moyen";13,6725396751
2023-04;"Facteur de charge moyen";18,231117425478
2023-05;"Facteur de charge moyen";20,319212149591
2023-06;"Facteur de charge moyen";21,957435293501
2023-07;"Facteur de charge moyen";21,079845678237
2023-08;"Facteur de charge moyen";19,895646557587
2023-09;"Facteur de charge moyen";17,951268254507
2023-10;"Facteur de charge moyen";12,092440879698
2023-11;"Facteur de charge moyen";6,9048594539322
2023-12;"Facteur de charge moyen";5,0897097154966
2024-01;"Facteur de charge moyen";5,8953274683775
2024-02;"Facteur de charge moyen";7,9259505509327
2024-03;"Facteur de charge moyen";13,140394926853
2024-04;"Facteur de charge moyen";16,199705726468
2024-05;"Facteur de charge moyen";17,173555959459
2024-06;"Facteur de charge moyen";18,776616401502
2024-07;"Facteur de charge moyen";20,04991082347
2024-08;"Facteur de charge moyen";19,638703894953
2024-09;"Facteur de charge moyen";14,232260022664
2024-10;"Facteur de charge moyen";9,6634055602948
2024-11;"Facteur de charge moyen";6,9919252855764
2024-12;"Facteur de charge moyen";5,027483452064
2025-01;"Facteur de charge moyen";5,1559887835874
2025-02;"Facteur de charge moyen";8,6599869406898
2025-03;"Facteur de charge moyen";12,892406199523
2025-04;"Facteur de charge moyen";15,492957605762
2025-05;"Facteur de charge moyen";17,552577812535
2025-06;"Facteur de charge moyen";19,264600830508
2025-07;"Facteur de charge moyen";20,229579867369
2025-08;"Facteur de charge moyen";18,270674433778
2025-09;"Facteur de charge moyen";13,946737103892
2025-10;"Facteur de charge moyen";10,798191229491
2025-11;"Facteur de charge moyen";6,7032219288866
